date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-02-27,52.24,53.61,51.95,52.28,45.32,268400,Siemens,21,SIEGY,technologie
2020-02-26,53.53,53.86,52.58,52.75,45.73,230100,Siemens,21,SIEGY,technologie
2020-02-25,54.67,54.67,53.02,53.02,45.97,217400,Siemens,21,SIEGY,technologie
2020-02-24,54.3,54.86,54.25,54.5,47.25,208300,Siemens,21,SIEGY,technologie
2020-02-21,57.16,57.22,56.77,56.9,49.33,140600,Siemens,21,SIEGY,technologie
2020-02-20,57.78,58.03,57.13,57.55,49.89,161600,Siemens,21,SIEGY,technologie
2020-02-19,57.4,57.74,57.31,57.59,49.93,201800,Siemens,21,SIEGY,technologie
2020-02-18,57.51,57.8,57.5,57.74,50.06,164300,Siemens,21,SIEGY,technologie
2020-03-17,21.73,21.86,19.8,20.61,20.61,4260400,Sketchers,21,SKX,textile
2020-03-16,23.13,24.28,21.14,21.21,21.21,2656200,Sketchers,21,SKX,textile
2020-03-13,26.6,26.76,24.41,26.43,26.43,2636100,Sketchers,21,SKX,textile
2020-03-12,26,27.76,25,25.53,25.53,3254800,Sketchers,21,SKX,textile
2020-03-11,28.82,29.06,27.31,27.91,27.91,3224700,Sketchers,21,SKX,textile
2020-03-10,29.01,30.01,28.62,29.88,29.88,2837900,Sketchers,21,SKX,textile
2020-03-09,29.49,29.78,27.53,27.77,27.77,2687100,Sketchers,21,SKX,textile
2020-03-06,30.62,31.3,30.2,31.08,31.08,1839600,Sketchers,21,SKX,textile
2020-03-05,32,32.22,31.03,31.35,31.35,2352900,Sketchers,21,SKX,textile
2020-03-04,31.63,33.05,31,32.92,32.92,2535200,Sketchers,21,SKX,textile
2020-03-03,33.48,34.1,30.57,31.5,31.5,2818000,Sketchers,21,SKX,textile
2020-03-02,33.18,33.85,32.46,33.83,33.83,2877700,Sketchers,21,SKX,textile
2020-02-28,31.5,33.13,31.36,33.08,33.08,3001500,Sketchers,21,SKX,textile
2020-02-27,32.43,33.75,31.75,32.55,32.55,2900700,Sketchers,21,SKX,textile
2020-02-26,32.94,34.13,32.91,33.43,33.43,1762500,Sketchers,21,SKX,textile
2020-02-25,34.2,34.2,32.8,32.81,32.81,2209600,Sketchers,21,SKX,textile
2020-02-24,35.17,35.47,33.54,34.14,34.14,3243500,Sketchers,21,SKX,textile
2020-02-21,37.86,38.01,36.74,36.9,36.9,1980800,Sketchers,21,SKX,textile
2020-02-20,38,38.45,37.79,38.18,38.18,1479400,Sketchers,21,SKX,textile
2020-02-19,37.78,38.3,37.59,38.11,38.11,1855900,Sketchers,21,SKX,textile
2020-02-18,37.7,38.15,37.33,37.67,37.67,1298100,Sketchers,21,SKX,textile
2020-03-17,53.41,55.37,52.65,55.2,55.2,1702400,Sony,21,SONY,technologie
2020-03-16,52,53.86,50.94,51.68,51.68,1458900,Sony,21,SONY,technologie
2020-03-13,56.35,56.67,53.29,56.32,56.32,2012300,Sony,21,SONY,technologie
2020-03-12,54.53,55.47,51.5,52.57,52.57,2072100,Sony,21,SONY,technologie
2020-03-11,58.95,59.35,57.44,57.79,57.79,1349800,Sony,21,SONY,technologie
2020-03-10,61.09,61.15,59.06,60.33,60.33,3117300,Sony,21,SONY,technologie
2020-03-09,58.19,60.47,58,58.53,58.53,1374800,Sony,21,SONY,technologie
2020-03-06,62.8,63.24,62.16,63.12,63.12,1165600,Sony,21,SONY,technologie
2020-03-05,63.85,63.99,62.92,63.44,63.44,1259900,Sony,21,SONY,technologie
2020-03-04,63.78,64.95,63.57,64.79,64.79,1223800,Sony,21,SONY,technologie
2020-03-03,63.77,64.51,62.56,63.18,63.18,1714500,Sony,21,SONY,technologie
2020-03-02,63.6,64.26,62.31,64.16,64.16,2117900,Sony,21,SONY,technologie
2020-02-28,59.49,62.46,59.35,62.2,62.2,2722600,Sony,21,SONY,technologie
2020-02-27,61.91,62.72,60.88,60.89,60.89,2006000,Sony,21,SONY,technologie
2020-02-26,64.36,64.83,63.78,63.94,63.94,1553400,Sony,21,SONY,technologie
2020-02-25,65.25,65.5,63.13,63.58,63.58,2226400,Sony,21,SONY,technologie
2020-02-24,64,64.58,63.51,63.93,63.93,1413800,Sony,21,SONY,technologie
2020-02-21,66.95,67,65.75,65.94,65.94,906900,Sony,21,SONY,technologie
2020-02-20,66.91,67.17,66.03,66.74,66.74,1326100,Sony,21,SONY,technologie
2020-02-19,66.96,67.37,66.87,67.07,67.07,1234900,Sony,21,SONY,technologie
2020-02-18,66.42,67.09,66.1,66.64,66.64,2345700,Sony,21,SONY,technologie
2020-03-17,41.32,43.85,36.28,37.43,37.38,2230500,Tommy hilfiger,21,PVH,textile
2020-03-16,43.69,45.46,40.31,40.75,40.69,1442200,Tommy hilfiger,21,PVH,textile
